Items in order,stemmed_text
1 x Loaded Pork Pepperoni Pizza,x load pork pepperoni pizza
1 x Chicken Pepperoni Pizza,x chicken pepperoni pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Jamaican Chicken Melt, 1 x Cheesy Garlic Bread",x jamaican chicken melt x cheesi garlic bread
"1 x Cheesy Garlic Bread, 1 x Malai Gud Pide, 1 x Angara Paneer Melt",x cheesi garlic bread x malai gud pide x angara paneer melt
1 x Bageecha Pizza,x bageecha pizza
1 x Angara Paneer Melt,x angara paneer melt
1 x Bageecha Pizza,x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Murgh Amritsari Garlic Bread, 1 x All About Chicken Pizza",x murgh amritsari garlic bread x chicken pizza
"1 x Mutton Seekh Pizza, 1 x Bageecha Pizza",x mutton seekh pizza x bageecha pizza
1 x Peri Peri Chicken Melt,x peri peri chicken melt
1 x Pepperoni Garlic Bread,x pepperoni garlic bread
"1 x All About Chicken Pizza, 1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza, 1 x Chicken Pepperoni Pizza, 1 x Murgh Amritsari Seekh Pizza, 1 x Makhani Paneer Pizza, 1 x Mushroom Pizza",x chicken pizza x chilli chees garlic bread x bageecha pizza x chicken pepperoni pizza x murgh amritsari seekh pizza x makhani paneer pizza x mushroom pizza
"1 x Makhani Paneer Pizza, 1 x Chilli Cheese Garlic Bread",x makhani paneer pizza x chilli chees garlic bread
1 x Angara Paneer Melt,x angara paneer melt
1 x Masala Paneer Pide,x masala paneer pide
"1 x Jamaican Chicken Melt, 1 x Mutton Seekh Pide",x jamaican chicken melt x mutton seekh pide
"1 x Bageecha Pizza, 1 x Herbed Potato",x bageecha pizza x herb potato
"1 x Bellpepper Onion Pizza, 1 x Onion Rings, 1 x Margherita Pizza",x bellpepp onion pizza x onion ring x margherita pizza
1 x All About Chicken Pizza,x chicken pizza
1 x Masala Potato Pide,x masala potato pide
"1 x Chilli Cheese Garlic Bread, 1 x All About Chicken Pizza",x chilli chees garlic bread x chicken pizza
"1 x Chilli Cheese Garlic Bread, 1 x Margherita Pizza",x chilli chees garlic bread x margherita pizza
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x Mutton Seekh Pide, 1 x All About Chicken Pizza, 1 x Harissa Mayo",x mutton seekh pide x chicken pizza x harissa mayo
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x Masala Potato Pide,x masala potato pide
"1 x Bageecha Pizza, 1 x Jamaican Chicken Melt",x bageecha pizza x jamaican chicken melt
"1 x Peri Peri Chicken Melt, 1 x Mutton Seekh Pizza",x peri peri chicken melt x mutton seekh pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Murgh Amritsari Garlic Bread",x murgh amritsari seekh melt x murgh amritsari garlic bread
"1 x Grilled Chicken Tangdi, 1 x Murgh Amritsari Seekh Pizza",x grill chicken tangdi x murgh amritsari seekh pizza
"1 x All About Chicken Pizza, 1 x Murgh Amritsari Garlic Bread, 1 x Peri Peri Fries",x chicken pizza x murgh amritsari garlic bread x peri peri fri
1 x Fried Chicken Tenders,x fri chicken tender
"1 x Jamaican Chicken Melt, 1 x Bageecha Pizza",x jamaican chicken melt x bageecha pizza
1 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
1 x Bageecha Pizza,x bageecha pizza
"2 x Herbed Potato, 1 x Peri Peri Paneer Melt",x herb potato x peri peri paneer melt
"1 x Onion Rings, 1 x All About Chicken Pizza",x onion ring x chicken pizza
"1 x Bageecha Pizza, 1 x Indian Masala Cripser Fries",x bageecha pizza x indian masala cripser fri
"1 x Masala Paneer Pide, 1 x Bageecha Pizza, 1 x Bellpepper Onion Pizza",x masala paneer pide x bageecha pizza x bellpepp onion pizza
"1 x Angara Paneer Melt, 1 x Mushroom Mozzarella Melt",x angara paneer melt x mushroom mozzarella melt
"1 x Murgh Amritsari Garlic Bread, 1 x Jamaican Chicken Melt",x murgh amritsari garlic bread x jamaican chicken melt
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
"1 x Bageecha Pizza, 1 x Peri Peri Paneer Pizza, 1 x Masala Paneer Pide",x bageecha pizza x peri peri paneer pizza x masala paneer pide
1 x Tripple Cheese Pizza,x trippl chees pizza
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Salted Crisper Fries, 1 x Indian Masala Cripser Fries, 1 x Bageecha Pizza",x salt crisper fri x indian masala cripser fri x bageecha pizza
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
"1 x Makhani Paneer Pizza, 1 x Cheesy Garlic Bread",x makhani paneer pizza x cheesi garlic bread
"1 x Peri Peri Paneer Pizza, 1 x Chilli Cheese Garlic Bread",x peri peri paneer pizza x chilli chees garlic bread
"1 x Murgh Amritsari Garlic Bread, 1 x Bageecha Pizza, 1 x Herbed Potato",x murgh amritsari garlic bread x bageecha pizza x herb potato
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x makhani paneer pizza x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Fried Chicken Tenders, 1 x Jamaican Chicken Melt, 1 x Harissa Mayo, 1 x Cheesy Garlic Bread",x fri chicken tender x jamaican chicken melt x harissa mayo x cheesi garlic bread
"1 x Peri Peri Paneer Pizza, 1 x Chilli Cheese Garlic Bread",x peri peri paneer pizza x chilli chees garlic bread
"1 x Makhani Paneer Pizza, 1 x All About Chicken Pizza",x makhani paneer pizza x chicken pizza
"1 x Masala Paneer Pide, 1 x Bageecha Pizza, 1 x Herbed Potato, 1 x All About Chicken Pizza",x masala paneer pide x bageecha pizza x herb potato x chicken pizza
"2 x Murgh Amritsari Garlic Bread, 1 x All About Chicken Pizza",x murgh amritsari garlic bread x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
1 x All About Chicken Pizza,x chicken pizza
"1 x Margherita Pizza, 1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x margherita pizza x chilli chees garlic bread x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
"1 x Herbed Potato, 1 x Bageecha Pizza",x herb potato x bageecha pizza
1 x Masala Paneer Pide,x masala paneer pide
"1 x Peri Peri Chicken Melt, 1 x Murgh Amritsari Garlic Bread",x peri peri chicken melt x murgh amritsari garlic bread
1 x All About Chicken Pizza,x chicken pizza
1 x Peri Peri Chicken Melt,x peri peri chicken melt
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread, 1 x All About Chicken Pizza",x bageecha pizza x chilli chees garlic bread x chicken pizza
1 x Peri Peri Chicken Melt,x peri peri chicken melt
"1 x Makhani Paneer Pizza, 1 x Indian Masala Cripser Fries, 1 x Angara Paneer Melt",x makhani paneer pizza x indian masala cripser fri x angara paneer melt
1 x Bellpepper Onion Pizza,x bellpepp onion pizza
1 x Tripple Cheese Pizza,x trippl chees pizza
1 x Just Pepperoni Pide,x pepperoni pide
"1 x Murgh Amritsari Seekh Pide, 1 x Mutton Seekh Pide",x murgh amritsari seekh pide x mutton seekh pide
"1 x Murgh Amritsari Garlic Bread, 1 x Peri Peri Crisper Fries, 1 x All About Chicken Pizza",x murgh amritsari garlic bread x peri peri crisper fri x chicken pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x Bageecha Pizza,x bageecha pizza
1 x Bageecha Pizza,x bageecha pizza
"1 x Just Pepperoni Pizza, 1 x Murgh Amritsari Garlic Bread",x pepperoni pizza x murgh amritsari garlic bread
"1 x Chilli Cheese Garlic Bread, 1 x Desi Chicken Pepperoni Pizza",x chilli chees garlic bread x desi chicken pepperoni pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Peri Peri Grilled Chicken Pizza, 1 x Cheesy Garlic Bread",x murgh amritsari seekh pide x peri peri grill chicken pizza x cheesi garlic bread
"1 x Bageecha Pizza, 1 x Tripple Cheese Pizza",x bageecha pizza x trippl chees pizza
"1 x Peri Peri Grilled Chicken Pizza, 1 x Makhani Paneer Pizza",x peri peri grill chicken pizza x makhani paneer pizza
"1 x Masala Paneer Pide, 1 x Herbed Potato, 1 x Bageecha Pizza, 1 x Peri Peri Paneer Melt",x masala paneer pide x herb potato x bageecha pizza x peri peri paneer melt
1 x All About Chicken Pizza,x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
"1 x Tripple Cheese Pizza, 1 x Indian Masala Fries",x trippl chees pizza x indian masala fri
"1 x Makhani Paneer Pizza, 1 x Murgh Amritsari Seekh Pide, 2 x Herbed Potato, 1 x Mushroom Pizza, 1 x Masala Paneer Pide",x makhani paneer pizza x murgh amritsari seekh pide x herb potato x mushroom pizza x masala paneer pide
1 x Bageecha Pizza,x bageecha pizza
1 x Masala Paneer Pide,x masala paneer pide
1 x All About Chicken Pizza,x chicken pizza
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x OG Cheese Pide, 1 x Bageecha Pizza, 1 x Onion Rings, 1 x Peri Peri Fries",x og chees pide x bageecha pizza x onion ring x peri peri fri
1 x Mutton Seekh Pizza,x mutton seekh pizza
"1 x Cheesy Garlic Bread, 1 x Mutton Seekh Pizza",x cheesi garlic bread x mutton seekh pizza
"1 x Just Pepperoni Pizza, 1 x Indian Masala Fries, 1 x Garlic Aioli",x pepperoni pizza x indian masala fri x garlic aioli
"1 x Jamaican Chicken Melt, 1 x Peri Peri Chicken Melt, 1 x Herbed Potato",x jamaican chicken melt x peri peri chicken melt x herb potato
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x Bageecha Pizza,x bageecha pizza
"1 x Onion Rings, 1 x Just Pepperoni Pizza",x onion ring x pepperoni pizza
"1 x Peri Peri Paneer Pizza, 1 x Chilli Cheese Garlic Bread",x peri peri paneer pizza x chilli chees garlic bread
1 x Margherita Pizza,x margherita pizza
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x makhani paneer pizza x bageecha pizza
"1 x Cheesy Garlic Bread, 1 x Margherita Pizza, 1 x Herbed Potato",x cheesi garlic bread x margherita pizza x herb potato
"1 x Bageecha Pizza, 1 x Tripple Cheese Pizza, 1 x Masala Paneer Pide",x bageecha pizza x trippl chees pizza x masala paneer pide
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
"1 x Pepperoni Garlic Bread, 1 x Peri Peri Chicken Melt",x pepperoni garlic bread x peri peri chicken melt
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Angara Paneer Melt,x angara paneer melt
"2 x Murgh Amritsari Seekh Melt, 2 x Angara Paneer Melt",x murgh amritsari seekh melt x angara paneer melt
1 x Peri Peri Chicken Melt,x peri peri chicken melt
"3 x Masala Potato Pide, 3 x Pepperoni Garlic Bread",x masala potato pide x pepperoni garlic bread
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
1 x Bageecha Pizza,x bageecha pizza
"1 x Murgh Amritsari Garlic Bread, 1 x Peri Peri Crisper Fries",x murgh amritsari garlic bread x peri peri crisper fri
"1 x Murgh Amritsari Garlic Bread, 1 x All About Chicken Pizza",x murgh amritsari garlic bread x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
"1 x Tripple Cheese Pizza, 1 x Indian Masala Fries",x trippl chees pizza x indian masala fri
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza, 1 x Masala Paneer Pide",x chilli chees garlic bread x bageecha pizza x masala paneer pide
"1 x Chicken Pepperoni Pizza, 1 x Peri Peri Paneer Pizza",x chicken pepperoni pizza x peri peri paneer pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Peri Peri Paneer Pizza, 2 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x peri peri paneer pizza x chilli chees garlic bread x bageecha pizza
1 x Peri Peri Grilled Chicken Pizza,x peri peri grill chicken pizza
"1 x Peri Peri Grilled Chicken Pizza, 1 x Murgh Amritsari Garlic Bread, 1 x Just Pepperoni Pizza",x peri peri grill chicken pizza x murgh amritsari garlic bread x pepperoni pizza
"1 x Fried Chicken Tenders, 1 x Peri Peri Fries, 1 x Onion Rings, 1 x Pepperoni Garlic Bread, 1 x Tripple Cheese Pizza",x fri chicken tender x peri peri fri x onion ring x pepperoni garlic bread x trippl chees pizza
"1 x Bageecha Pizza, 1 x Masala Paneer Pide",x bageecha pizza x masala paneer pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Desi Pepperoni Pizza",x murgh amritsari seekh pide x desi pepperoni pizza
1 x Bageecha Pizza,x bageecha pizza
"2 x Just Pepperoni Pide, 1 x Mushroom Mozzarella Melt, 1 x Jamaican Chicken Melt",x pepperoni pide x mushroom mozzarella melt x jamaican chicken melt
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x All About Chicken Pizza,x chicken pizza
1 x Tripple Cheese Pizza,x trippl chees pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
"1 x Onion Rings, 1 x Mushroom Pizza",x onion ring x mushroom pizza
"2 x All About Chicken Pizza, 1 x Margherita Pizza",x chicken pizza x margherita pizza
1 x Tripple Cheese Pizza,x trippl chees pizza
"1 x Jamaican Chicken Melt, 1 x Peri Peri Grilled Chicken Pizza",x jamaican chicken melt x peri peri grill chicken pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x All About Chicken Pizza,x chicken pizza
"1 x Bageecha Pizza, 1 x Raw Masala Lemon Shikanji, 1 x Spinach Sumac Pide",x bageecha pizza x raw masala lemon shikanji x spinach sumac pide
"1 x Bageecha Pizza, 1 x Peri Peri Fries",x bageecha pizza x peri peri fri
1 x Just Pepperoni Pizza,x pepperoni pizza
"1 x Herbed Potato, 1 x Bageecha Pizza",x herb potato x bageecha pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Peri Peri Chicken Melt,x peri peri chicken melt
1 x Margherita Pizza,x margherita pizza
"1 x Masala Paneer Pide, 1 x Peri Peri Crisper Fries, 1 x Chilli Cheese Garlic Bread",x masala paneer pide x peri peri crisper fri x chilli chees garlic bread
"1 x Mushroom Pizza, 1 x Herbed Potato, 1 x Cheesy Garlic Bread, 2 x Salted Fries",x mushroom pizza x herb potato x cheesi garlic bread x salt fri
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
"1 x Indian Salsa, 1 x Bageecha Pizza",x indian salsa x bageecha pizza
"1 x Indian Masala Fries, 1 x Murgh Amritsari Garlic Bread, 1 x All About Chicken Pizza",x indian masala fri x murgh amritsari garlic bread x chicken pizza
"1 x Peri Peri Fries, 1 x Just Pepperoni Pizza",x peri peri fri x pepperoni pizza
"1 x Jamaican Chicken Melt, 1 x Grilled Chicken Tangdi",x jamaican chicken melt x grill chicken tangdi
"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Garlic Bread",x jamaican chicken melt x murgh amritsari garlic bread
1 x All About Chicken Pizza,x chicken pizza
"1 x Salted Crisper Fries, 1 x Tripple Cheese Pizza",x salt crisper fri x trippl chees pizza
"1 x All About Chicken Pizza, 1 x Cheesy Garlic Bread, 1 x Spinach Sumac Pide",x chicken pizza x cheesi garlic bread x spinach sumac pide
"1 x Bageecha Pizza, 1 x Peri Peri Grilled Chicken Pizza",x bageecha pizza x peri peri grill chicken pizza
"1 x Cheesy Garlic Bread, 1 x Just Pepperoni Pizza",x cheesi garlic bread x pepperoni pizza
"1 x All About Chicken Pizza, 1 x Murgh Amritsari Seekh Pide",x chicken pizza x murgh amritsari seekh pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Just Pepperoni Pizza, 1 x Cheesy Garlic Bread",x pepperoni pizza x cheesi garlic bread
"1 x Angara Paneer Melt, 1 x Mushroom Mozzarella Melt",x angara paneer melt x mushroom mozzarella melt
"1 x Margherita Pizza, 1 x Tipsy Tiger Fresh Lime Soda, 1 x Mushroom Mozzarella Melt",x margherita pizza x tipsi tiger fresh lime soda x mushroom mozzarella melt
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Cheesy Garlic Bread, 1 x Peanut Butter Chocolate Pide",x cheesi garlic bread x peanut butter chocol pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Chilli Cheese Garlic Bread, 1 x OG Cheese Pide",x chilli chees garlic bread x og chees pide
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
"1 x Herbed Potato, 2 x Bageecha Pizza",x herb potato x bageecha pizza
"1 x Bageecha Pizza, 1 x Masala Potato Pide",x bageecha pizza x masala potato pide
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x Pepperoni Garlic Bread, 1 x Just Pepperoni Pizza",x pepperoni garlic bread x pepperoni pizza
"1 x Indian Masala Cripser Fries, 1 x Murgh Amritsari Garlic Bread, 1 x Fried Chicken Tenders",x indian masala cripser fri x murgh amritsari garlic bread x fri chicken tender
"1 x Mutton Seekh Pide, 1 x Just Pepperoni Pide, 1 x Murgh Amritsari Seekh Melt",x mutton seekh pide x pepperoni pide x murgh amritsari seekh melt
1 x Margherita Pizza,x margherita pizza
1 x Bageecha Pizza,x bageecha pizza
"1 x Peri Peri Crisper Fries, 1 x Margherita Pizza",x peri peri crisper fri x margherita pizza
"1 x Chilli Cheese Garlic Bread, 1 x Jamaican Chicken Melt",x chilli chees garlic bread x jamaican chicken melt
"1 x Mutton Seekh Pide, 1 x Margherita Pizza, 1 x Murgh Amritsari Garlic Bread, 1 x Chilli Cheese Garlic Bread",x mutton seekh pide x margherita pizza x murgh amritsari garlic bread x chilli chees garlic bread
"1 x Mutton Seekh Pide, 1 x Margherita Pizza, 1 x Murgh Amritsari Garlic Bread",x mutton seekh pide x margherita pizza x murgh amritsari garlic bread
"1 x Mushroom Pizza, 1 x Bageecha Pizza",x mushroom pizza x bageecha pizza
"1 x Peri Peri Paneer Pizza, 1 x Makhani Paneer Pizza",x peri peri paneer pizza x makhani paneer pizza
"1 x Margherita Pizza, 1 x Makhani Paneer Pizza",x margherita pizza x makhani paneer pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Mutton Seekh Pide",x murgh amritsari seekh pide x mutton seekh pide
"1 x Murgh Amritsari Seekh Melt, 1 x All About Chicken Pizza",x murgh amritsari seekh melt x chicken pizza
"1 x Just Pepperoni Pide, 1 x Murgh Amritsari Garlic Bread",x pepperoni pide x murgh amritsari garlic bread
"1 x Garlic Aioli, 1 x Chilli Cheese Garlic Bread, 1 x Peri Peri Crisper Fries",x garlic aioli x chilli chees garlic bread x peri peri crisper fri
2 x Peri Peri Paneer Pizza,x peri peri paneer pizza
"2 x Harissa Mayo, 2 x Murgh Amritsari Seekh Pizza, 2 x Garlic Aioli, 1 x Grilled Chicken Tangdi",x harissa mayo x murgh amritsari seekh pizza x garlic aioli x grill chicken tangdi
"1 x Makhani Paneer Pizza, 1 x Mutton Seekh Pizza",x makhani paneer pizza x mutton seekh pizza
2 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x Mushroom Pizza",x murgh amritsari seekh pizza x mushroom pizza
"2 x All About Chicken Pizza, 2 x Peri Peri Paneer Pizza, 2 x Cheesy Garlic Bread",x chicken pizza x peri peri paneer pizza x cheesi garlic bread
"1 x Herbed Potato, 1 x All About Chicken Pizza, 1 x Malai Gud Pide, 1 x Bageecha Pizza",x herb potato x chicken pizza x malai gud pide x bageecha pizza
"1 x Mushroom Pizza, 1 x Peri Peri Grilled Chicken Pizza",x mushroom pizza x peri peri grill chicken pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Mutton Seekh Pide",x murgh amritsari seekh pide x mutton seekh pide
"1 x Mushroom Pizza, 1 x Bageecha Pizza",x mushroom pizza x bageecha pizza
"1 x Bellpepper Onion Pizza, 1 x OG Cheese Pide",x bellpepp onion pizza x og chees pide
"1 x All About Chicken Pizza, 1 x Bageecha Pizza",x chicken pizza x bageecha pizza
"1 x Mushroom Mozzarella Melt, 1 x Peanut Butter Chocolate Pide",x mushroom mozzarella melt x peanut butter chocol pide
2 x Bageecha Pizza,x bageecha pizza
"1 x Cheesy Garlic Bread, 1 x Peri Peri Paneer Pizza, 1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x cheesi garlic bread x peri peri paneer pizza x bageecha pizza x chilli chees garlic bread
"1 x All About Chicken Pizza, 1 x Just Pepperoni Pizza",x chicken pizza x pepperoni pizza
"1 x Peri Peri Crisper Fries, 1 x Masala Paneer Pide",x peri peri crisper fri x masala paneer pide
"1 x Murgh Amritsari Seekh Pizza, 1 x Peri Peri Grilled Chicken Pizza",x murgh amritsari seekh pizza x peri peri grill chicken pizza
"1 x Bageecha Pizza, 1 x Peri Peri Paneer Pizza",x bageecha pizza x peri peri paneer pizza
"1 x Bellpepper Onion Pizza, 1 x Masala Paneer Pide, 1 x Chilli Cheese Garlic Bread, 1 x Desi Pepperoni Pizza",x bellpepp onion pizza x masala paneer pide x chilli chees garlic bread x desi pepperoni pizza
"1 x Masala Potato Pide, 1 x Just Pepperoni Pide",x masala potato pide x pepperoni pide
"1 x Bageecha Pizza, 2 x Cheesy Garlic Bread, 1 x Makhani Paneer Pizza",x bageecha pizza x cheesi garlic bread x makhani paneer pizza
"1 x Masala Paneer Pide, 1 x Bageecha Pizza",x masala paneer pide x bageecha pizza
"1 x Margherita Pizza, 1 x Angara Paneer Melt",x margherita pizza x angara paneer melt
"1 x Peri Peri Chicken Melt, 1 x Masala Paneer Pide",x peri peri chicken melt x masala paneer pide
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x makhani paneer pizza x bageecha pizza
"1 x Makhani Paneer Pizza, 1 x Murgh Amritsari Seekh Pizza",x makhani paneer pizza x murgh amritsari seekh pizza
"1 x Mutton Seekh Pizza, 1 x Pepperoni Garlic Bread",x mutton seekh pizza x pepperoni garlic bread
"1 x Chilli Cheese Garlic Bread, 1 x Angara Paneer Melt",x chilli chees garlic bread x angara paneer melt
"2 x Makhani Paneer Pizza, 2 x Angara Paneer Melt",x makhani paneer pizza x angara paneer melt
1 x Margherita Pizza,x margherita pizza
"1 x Chilli Cheese Garlic Bread, 1 x Malai Gud Pide",x chilli chees garlic bread x malai gud pide
"1 x Bageecha Pizza, 1 x Angara Paneer Melt, 1 x Garlic Aioli, 1 x Indian Salsa",x bageecha pizza x angara paneer melt x garlic aioli x indian salsa
"1 x Murgh Amritsari Seekh Pizza, 1 x Tripple Cheese Pizza",x murgh amritsari seekh pizza x trippl chees pizza
"1 x Murgh Amritsari Garlic Bread, 1 x Just Pepperoni Pizza",x murgh amritsari garlic bread x pepperoni pizza
"1 x Just Pepperoni Pizza, 1 x All About Chicken Pizza",x pepperoni pizza x chicken pizza
"1 x Angara Paneer Melt, 1 x Margherita Pizza",x angara paneer melt x margherita pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Angara Paneer Melt",x murgh amritsari seekh melt x angara paneer melt
"1 x Tripple Cheese Pizza, 1 x Mushroom Pizza",x trippl chees pizza x mushroom pizza
"1 x Bageecha Pizza, 1 x All About Chicken Pizza",x bageecha pizza x chicken pizza
"1 x Mutton Seekh Pizza, 1 x All About Chicken Pizza",x mutton seekh pizza x chicken pizza
2 x Mutton Seekh Pide,x mutton seekh pide
"1 x Desi Chicken Pepperoni Pizza, 1 x Mutton Seekh Pizza",x desi chicken pepperoni pizza x mutton seekh pizza
"1 x Margherita Pizza, 1 x Tripple Cheese Pizza",x margherita pizza x trippl chees pizza
"1 x Tripple Cheese Pizza, 1 x Bageecha Pizza",x trippl chees pizza x bageecha pizza
"2 x Mushroom Mozzarella Melt, 2 x Margherita Pizza",x mushroom mozzarella melt x margherita pizza
"1 x Murgh Amritsari Garlic Bread, 1 x Mushroom Pizza, 1 x Mutton Seekh Pide, 1 x Makhani Paneer Pizza",x murgh amritsari garlic bread x mushroom pizza x mutton seekh pide x makhani paneer pizza
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x makhani paneer pizza x bageecha pizza
"1 x Herbed Potato, 1 x Masala Paneer Pide",x herb potato x masala paneer pide
"1 x Angara Paneer Melt, 1 x OG Cheese Pide",x angara paneer melt x og chees pide
"1 x Tripple Cheese Pizza, 1 x Margherita Pizza",x trippl chees pizza x margherita pizza
"1 x Masala Paneer Pide, 1 x Makhani Paneer Pizza",x masala paneer pide x makhani paneer pizza
"1 x Herbed Potato, 1 x Peri Peri Crisper Fries",x herb potato x peri peri crisper fri
"2 x Jamaican Chicken Melt, 2 x Margherita Pizza",x jamaican chicken melt x margherita pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Peri Peri Chicken Melt, 1 x Jamaican Chicken Melt",x peri peri chicken melt x jamaican chicken melt
"1 x Murgh Amritsari Seekh Melt, 1 x Jamaican Chicken Melt",x murgh amritsari seekh melt x jamaican chicken melt
"2 x Chicken Pepperoni Pizza, 2 x Bageecha Pizza",x chicken pepperoni pizza x bageecha pizza
"1 x Chilli Cheese Garlic Bread, 1 x Murgh Amritsari Garlic Bread",x chilli chees garlic bread x murgh amritsari garlic bread
2 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
"1 x Indian Masala Fries, 1 x Bageecha Pizza, 1 x Makhani Paneer Pizza",x indian masala fri x bageecha pizza x makhani paneer pizza
"1 x Bageecha Pizza, 1 x Mushroom Mozzarella Melt",x bageecha pizza x mushroom mozzarella melt
"1 x All About Chicken Pizza, 1 x Makhani Paneer Pizza",x chicken pizza x makhani paneer pizza
"1 x Margherita Pizza, 1 x Jamaican Chicken Melt",x margherita pizza x jamaican chicken melt
1 x Tripple Cheese Pizza,x trippl chees pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Angara Paneer Melt",x murgh amritsari seekh melt x angara paneer melt
"1 x All About Chicken Pizza, 1 x Murgh Amritsari Garlic Bread",x chicken pizza x murgh amritsari garlic bread
1 x All About Chicken Pizza,x chicken pizza
1 x All About Chicken Pizza,x chicken pizza
1 x Murgh Amritsari Seekh Melt,x murgh amritsari seekh melt
1 x Peri Peri Chicken Melt,x peri peri chicken melt
"1 x Murgh Amritsari Seekh Pizza, 1 x Herbed Potato, 1 x Garlic Aioli, 1 x Indian Masala Fries, 1 x Bageecha Pizza, 1 x Peri Peri Crisper Fries",x murgh amritsari seekh pizza x herb potato x garlic aioli x indian masala fri x bageecha pizza x peri peri crisper fri
1 x Makhani Paneer Pizza,x makhani paneer pizza
2 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x Bageecha Pizza",x murgh amritsari seekh pizza x bageecha pizza
1 x Margherita Pizza,x margherita pizza
"1 x Chilli Cheese Garlic Bread, 1 x Peri Peri Crisper Fries",x chilli chees garlic bread x peri peri crisper fri
1 x All About Chicken Pizza,x chicken pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Murgh Amritsari Seekh Pizza, 1 x Margherita Pizza",x murgh amritsari seekh pizza x margherita pizza
